epoch,method,train_adv_loss,train_adv_acc,gradalign_loss,val_clean_acc,val_pgd10_acc,core_training_seconds,online_monitor_seconds,clean_eval_seconds,pgd_monitor_seconds,lr_start,lr_end,fastadv_triggers_epoch,fastadv_triggers_total,pgd_training_batches_epoch,pgd_training_batches_total,pgd_remaining
15,fastadvplus,1.599456369357639,0.3979999999841054,0.0,0.587,0.353125,75.36140699998941,6.437323999998625,8.775084699998843,11.772281099998509,0.27999999999999997,0.2999431818181818,6,36,120,720,0
16,fastadvplus,1.5852812373903062,0.40024444446563723,0.0,0.605,0.35234375,65.83565129998897,6.055981699988479,8.862334300007205,11.41150140001264,0.3,0.2800568181818182,5,41,92,812,8
17,fastadvplus,1.592418102370368,0.40153333332273694,0.0,0.6346,0.35390625,85.42067599999427,6.3988784000393935,9.878206699999282,11.786790299986023,0.27999999999999997,0.2600568181818182,8,49,152,964,16
18,fastadvplus,1.5500388927035862,0.4170666666613685,0.0,0.6376,0.3109375,68.11781560000964,6.036378099917783,8.563683900007163,11.889741200007848,0.26,0.2400568181818182,4,53,96,1060,0
19,fastadvplus,1.5399524010552301,0.4157777777618832,0.0,0.631,0.34296875,75.69719869999972,6.3974931000120705,8.328416100004688,11.389460100006545,0.24,0.22005681818181821,6,59,120,1180,0
20,fastadvplus,1.4888724860721165,0.43680000003178915,0.0,0.6402,0.3796875,56.20009560001199,6.439266499975929,8.712200299996766,11.76048539999465,0.22,0.20005681818181814,3,62,60,1240,0
21,fastadvplus,1.4360399407280815,0.4529777777671814,0.0,0.6926,0.3625,37.13071179999679,6.06274579995079,9.012753900009557,12.178450099992915,0.2,0.18005681818181815,0,62,0,1240,0
22,fastadvplus,1.4486831309212578,0.4501333333545261,0.0,0.7008,0.37734375,62.51548479999474,6.446595100016566,8.452043400000548,11.759693800006062,0.18000000000000002,0.16005681818181816,4,66,80,1320,0
23,fastadvplus,1.4117603723314074,0.4611555555767483,0.0,0.6542,0.37109375,55.54540649999399,6.052210899986676,8.376274400012335,11.39678900000581,0.16000000000000003,0.14005681818181817,3,69,60,1380,0
24,fastadvplus,1.3995068490982057,0.4658888888888889,0.0,0.7064,0.40703125,69.1929827999993,6.452471400043578,8.301237100007711,11.413889500006917,0.13999999999999996,0.12005681818181817,5,74,100,1480,0
25,fastadvplus,1.3668874617682563,0.47962222225401135,0.0,0.7442,0.4046875,68.99752880001324,6.438935300015146,8.795676000008825,11.57844379999733,0.11999999999999997,0.10005681818181818,5,79,100,1580,0
26,fastadvplus,1.3114650991651746,0.49866666669845583,0.0,0.7246,0.434375,56.94997219998913,6.06354829997872,9.166417800006457,11.334272499996587,0.09999999999999998,0.08005681818181817,3,82,60,1640,0
27,fastadvplus,1.2233816605038113,0.5288888888782926,0.0,0.757,0.43984375,36.69415090000257,6.444321699993452,8.46530100000382,11.40720760000113,0.07999999999999997,0.06005681818181818,0,82,0,1640,0
28,fastadvplus,1.2169016447491117,0.5307333333863152,0.0,0.7794,0.4265625,62.21380459998909,6.058544399988023,8.560773300006986,11.18678910000017,0.059999999999999984,0.040056818181818186,4,86,80,1720,0
29,fastadvplus,1.1081744776407878,0.5716444444868299,0.0,0.805,0.46875,43.37586569999985,6.411432200024137,8.945827599993208,11.557813899999019,0.03999999999999999,0.020056818181818193,1,87,20,1740,0
30,fastadvplus,0.9974514984342787,0.6089999999894036,0.0,0.8202,0.47734375,37.18802620000497,6.459116199999698,9.405089599997154,11.983687600004487,0.019999999999999993,5.681818181819675e-05,0,87,0,1740,0
